ticker,classification,reasoning,theme,ticker
COIN,core,"Coinbase is a cryptocurrency exchange and custodian, directly operating within the cryptocurrency and digital assets space, providing core services related to digital asset trading and security.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure",
CRCL,core,"Circle provides a network utility and application platform leveraging stablecoins and the internet financial system, directly aligning with the theme of cryptocurrency, digital assets, mining & blockchain infrastructure by offering a stablecoin and blockchain-based financial services platform.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure",
GEN,core,"The company explicitly mentions expansion into cryptocurrency mining and demonstrates investment in AI-powered fraud protection, indicating a direct involvement with cryptocurrency and blockchain technologies.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure",
MSTR,core,"The company's core business is centered around cryptocurrency investment solutions, specifically providing exposure to Bitcoin through equity and fixed income instruments, alongside AI-powered data analytics tools for governance and actionable insights, directly aligning with the cryptocurrency and digital assets theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure",
XYZ,core,"Block's business model directly involves Bitcoin and cryptocurrency through its investments in companies like Coinbase, and its strategic diversification into the cryptocurrency space aligns with the investment theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure",SQ
CBOE,core,"CBOE Global Markets explicitly states its involvement in the digital assets market through its acquisition of EriX and Cboe Digital, positioning it as a key player in this space.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure",
HOOD,core,"Robinhood Markets directly offers commission-free trading in cryptocurrencies, making it a core player in the digital assets space.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure",
Q,core,"Qnity Electronics provides materials and solutions for advanced computing, AI, and various electronic applications, directly aligning with the theme of Quantum Computing, Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
LSCC,core,"Lattice Semiconductor's core business is the design and manufacturing of FPGAs, a key component in next-gen computing and advanced semiconductor applications, particularly in power-constrained devices like IoT and automotive.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
ONTO,core,"Onto Innovation's core business is providing process and process control equipment and software for semiconductor manufacturing, directly aligning with the theme of Quantum Computing, Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
AMAT,core,"Applied Materials is a major supplier of semiconductor equipment, directly providing tools for chip manufacturing, which is central to the quantum computing, next-gen computing, and advanced semiconductor themes.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
GOOG,core,"Alphabet Inc. has significant investment in quantum computing (Willow chip) and AI, positioning it as a key player in the quantum computing and next-gen computing space.",Manual Review,
LRCX,core,"Lam Research is a leading supplier of wafer fabrication equipment, which is a critical component of the semiconductor industry, directly aligning with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
AMD,core,"AMD's core business is designing and manufacturing CPUs and GPUs, which are fundamental components in quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
ON,core,"ON Semiconductor's core business is semiconductor manufacturing, directly aligning with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
INTC,core,"Intel is a leading semiconductor manufacturer with a core business focused on designing and manufacturing computing solutions, including CPUs, which directly aligns with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
IBM,core,"IBM's business is directly focused on quantum computing, with a strong history and current leadership in this area, alongside significant investments in AI and related technologies.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
ENTG,core,"The company's business is directly focused on the semiconductor industry, providing specialty materials and solutions crucial for chip manufacturing, which is a core component of next-gen computing and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
AMKR,core,"Amkor Technology provides semiconductor packaging and test services, which is a core component of the semiconductor industry, aligning directly with the investment theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
ALAB,core,"Astera Labs is a semiconductor manufacturer specifically focused on high-speed connectivity solutions for data centers and AI infrastructure, directly aligning with the quantum computing, next-gen computing, and advanced semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
NVDA,core,"NVIDIA's core business is the design of GPUs and AI hardware, directly fueling advancements in AI, gaming, data centers, and autonomous vehicles, making it a leading provider of the computing power in the quantum computing, next-gen computing, and advanced semiconductor space.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
AVGO,core,"Broadcom's core business is in semiconductors and infrastructure software, with a strategic focus on AI chips and data center solutions, directly aligning with the investment theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
MU,core,"Micron Technology Inc. is a semiconductor company specializing in computer memory and data storage solutions, directly aligning with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
SWKS,core,Skyworks Solutions is a semiconductor company,"Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
CDNS,core,"Cadence Design Systems' core business is providing software and hardware for chip design, system-level verification, and electronic design automation (EDA), which directly relates to the next-gen computing and advanced semiconductor industries.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
KLAC,core,"KLA Corporation is a leading manufacturer of wafer fab equipment, process control, and yield management systems for the semiconductor industry, directly aligning with the core of quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
MKSI,core,"MKS Inc. provides foundational technology solutions for semiconductor manufacturing, electronics, and specialty industrial applications, directly aligning with the theme of Quantum Computing, Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
GFS,core,"GlobalFoundries is a semiconductor foundry, directly involved in the manufacturing of advanced semiconductors, which is a core component of the Quantum Computing, Next-Gen Computing & Advanced Semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
COHR,core,"The company's core technology and business are centered around precision photonics and laser solutions, which are key enablers for advanced manufacturing, industrial automation, and scientific research â€“ all within the quantum computing, next-gen computing, and advanced semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
LITE,core,Lumentum is a fiber optic communications company,"Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
CGNX,core,"Cognex's core business is the design and manufacturing of machine vision systems and software, which are directly related to advanced manufacturing and automation, aligning with the Quantum Computing, Next-Gen Computing & Advanced Semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
ADI,core,"Analog Devices is a semiconductor company focused on analog and digital signal processing technologies, which are core to quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
QCOM,core,"Qualcomm's core business is designing and licensing semiconductor products, particularly system-on-chip (SoC) solutions, for smartphones, tablets, and automotive applications, with a strategic focus on AI, 5G, and automotive markets, aligning with the investment theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
SMCI,core,"Supermicro is a leading provider of high-performance servers, storage, and related software solutions, directly serving the data center, cloud computing, AI, and 5G markets, which are all key areas within quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors",
AUR,core,"Aurora Innovation's core business is the development of self-driving technology for commercial vehicles, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
APTV,core,"APTV's core business is the development and manufacturing of critical systems for autonomous driving, electric vehicles, and connected car technology, directly aligning with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
ZBRA,core,"Zebra Technologies' core business is in data capture solutions, including machine vision, RFID, and automation, which directly aligns with robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
ALGM,core,"Allegro Microsystems' core business revolves around designing, developing, and manufacturing sensor-integrated circuits (ICs) and power ICs specifically for motion control and energy-efficient systems, with a strong focus on the automotive and industrial markets, aligning directly with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
ST,core,"SensaTech's core business is centered around sensor-based solutions for the automotive, industrial, and energy sectors, with a strong focus on electric vehicles and autonomous driving, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
SNPS,core,"Synopsys' core business is Electronic Design Automation (EDA) software and services, which heavily leverages AI for chip design automation, placing it directly within the robotics, automation, and AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
CTSH,core,"Cognizant's business is directly focused on AI-led automation and business process outsourcing, which are key components of robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
GGG,core,"The company explicitly mentions 'Graco Robotics, Inc. (GRI)' and its proactive approach to integrating automation into fluid handling systems, indicating a direct involvement in the robotics market.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
TER,core,"TeraDyne's core business is the design and manufacture of automated test equipment for the semiconductor and electronics industries, directly addressing a critical bottleneck in high-volume production, which is central to robotics, automation, and autonomous vehicles.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
LCID,core,"Lucid Group is an electric vehicle manufacturer focused on advanced automotive technology, including autonomous driving and battery technology, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
PSN,core,"Parsons Corp is actively pivoting towards emerging technologies like AI/ML, cloud, and transportation networks, with a strong focus on automation and infrastructure solutions, indicating a direct alignment with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
LEA,core,"Lear Corporation's acquisition of InTouch Automation and development of innovative products like the Solid State Smart Junction Box (S3JB) directly indicate a commitment to advanced automotive technologies and Industry 4.0 integration, aligning with the Robotics, Automation, Autonomous Vehicles & Industrial AI Systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
EMR,core,"Emerson Electric's core business is industrial automation and control systems, with a strong focus on digital transformation and automation technology development, aligning directly with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
TRMB,core,"Trimble's strategic focus on agriculture, robotics and automation partnerships, and integration with automation solutions directly align with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
ISRG,core,"Intuitive Surgical is a developer and manufacturer of robotic surgical systems, directly aligning with the robotics and automation theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
RRX,core,"Regal Rexnord's business focuses on power transmission and industrial motion technologies, which are directly related to automation and robotics applications.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
RIVN,core,"Rivian is an electric vehicle manufacturer with a strong focus on advanced technology, off-road capabilities, and strategic partnerships, directly aligning with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
JCI,core,"The company has a strategic pivot towards data center cooling and building automation, with an acquisition in this area and a partnership with an autonomous robotics company, indicating a focus on technology-driven solutions within its building technologies business.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
TSLA,core,"Tesla's core business is electric vehicles and energy solutions, with significant investments in autonomous driving, battery technology, and AI, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems",
PANW,core,"Palo Alto Networks' core business is providing cybersecurity platforms, including AI-powered security solutions, which directly aligns with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms,
CRWD,core,"The company's primary business is cloud-based threat intelligence and incident response, leveraging AI and machine learning for cybersecurity, directly aligning with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms,
FFIV,core,"F5 Networks provides application delivery and security solutions, with a strong focus on AI, cloud-native technologies, and security for hybrid and multi-cloud environments, aligning directly with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms,
ZS,core,"ZScaler's business is directly focused on providing cloud security solutions, leveraging AI for threat detection and prevention, which aligns with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms,
FTNT,core,"The business description explicitly states that Fortinet provides a broad range of network security products and services, focusing on a comprehensive security fabric architecture, which is directly related to AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms,
CSCO,core,"Cisco's business is fundamentally centered around networking hardware, software, and services, with a strong focus on security and cloud technologies, aligning with the AI-powered cybersecurity and network security platforms theme.",AI-Powered Cybersecurity & Network Security Platforms,
SAIL,core,"SailPoint's business is directly related to identity security solutions, which is a core component of cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms,
MSI,core,"The company's business description explicitly mentions a growing focus on AI and data analytics, along with strategic acquisitions in cybersecurity and connected devices, indicating a direct involvement in AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms,
ESTC,core,"Elastic's core business is providing observability and security solutions, with a strong focus on AI/ML integration and strategic acquisitions in the cybersecurity and cloud computing space, directly aligning with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms,
CACI,core,"CACI's core business is providing cybersecurity solutions to the U.S. government and international customers, with a focus on threat intelligence and national security, and has a technological advantage with platforms like DarkBlue.",AI-Powered Cybersecurity & Network Security Platforms,
UI,core,"Ubiquiti Inc. provides networking solutions, including cloud-based management platforms, which are directly related to network security and infrastructure, aligning with the AI-powered cybersecurity theme.",AI-Powered Cybersecurity & Network Security Platforms,
CXT,core,"Crane NXT's business is directly focused on providing technology solutions for securing, detecting, and authenticating assets, which aligns with the AI-powered cybersecurity and network security platforms theme.",AI-Powered Cybersecurity & Network Security Platforms,
DT,core,"DynaTrace's core business is an observability platform leveraging AI for comprehensive monitoring and security across multi-cloud environments, directly aligning with the AI-powered cybersecurity and network security platforms theme.",AI-Powered Cybersecurity & Network Security Platforms,
ORCL,core,"Oracle is strategically expanding its presence in AI and cloud infrastructure, with a strong reputation for data security, aligning with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms,
FI,core,"Fiserv's core business is providing financial technology and payment processing services to financial institutions and retailers, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
EEFT,core,"EuroNet Worldwide is a global payment services provider offering a comprehensive suite of solutions including payment software, money transfer services, and financial infrastructure, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
WU,core,"Western Union's core business is money transfer services, which directly aligns with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
V,core,"Visa is a global leader in digital payments, providing the infrastructure and products for various payment methods, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
PYPL,core,"PayPal's core business is providing online payments and digital wallets, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
FOUR,core,"Shift4 Payments directly provides payment processing solutions, hardware, software, and business intelligence, aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
NCNO,core,"NCINO provides cloud-based banking software and core banking platforms, directly serving the digital finance and fintech industry with solutions for financial institutions.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
SOFI,core,"SoFi is a leading fintech company offering a comprehensive suite of financial products and services, directly aligning with the digital finance, payments, neobanks, and fintech infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
JKHY,core,"Jack Henry & Associates provides financial technology solutions specifically for community banks and credit unions, directly aligning with the digital finance, payments, and fintech infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
GPN,core,"Global Payments provides payment technology and services to merchants and financial institutions, directly operating within the digital finance and payments industry.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
NU,core,"Nubank is a digital financial services company providing banking solutions, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
SYF,core,"Synchrony Financial's core business is consumer lending, digital lending, and payment solutions, directly aligning with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
BR,core,"Broadriidge Financial Solutions provides financial document solutions, wealth management platforms, and trading platforms, all of which directly fall under the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
JPM,core,"JPMorgan Chase's business is fundamentally in financial services, with a strong focus on digital transformation, AI, and sustainable finance, aligning directly with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
PNC,core,"PNC Financial Services Group is a major US bank offering a comprehensive suite of financial services, including retail banking, wealth management, and lending, and is actively investing in fintech and exploring new technologies like instant payments and mobile banking, indicating a direct involvement in the digital finance space.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
SSNC,core,"SS&C Technologies provides software and software-as-a-service solutions specifically for the financial services industry, including fintech markets, wealth management, and investment management technology, making it a core player in digital finance and fintech infrastructure.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
FITB,core,"Fifth Third Bancorp is a regional bank with a significant focus on digital banking and fintech partnerships, indicating a direct involvement in the digital finance and payments space.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
COLB,core,"Columbia Banking System offers a comprehensive suite of banking and wealth management services with a strong focus on digital and mobile banking, indicating its core business is directly related to digital finance and payments.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
RKT,core,"Rocket Companies, Inc. provides digital financial services, including consumer lending and mortgage lending, and has a robust digital platform ecosystem, aligning with the core of the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
CBSH,core,"Commerce Bancshares provides a comprehensive suite of financial services, including payment processing, which directly aligns with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
AFRM,core,"Affirm's core business is providing Buy Now, Pay Later (BNPL) financing, which directly aligns with the Digital Finance, Payments, Neobanks & Fintech Infrastructure theme.","Digital Finance, Payments, Neobanks & Fintech Infrastructure",
