ticker,classification,reasoning,theme
COIN,core,"Coinbase is a cryptocurrency exchange and custodian, directly operating within the cryptocurrency and digital assets space, providing core services related to digital asset trading and security.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
CRCL,core,"Circle provides a network utility and application platform leveraging stablecoins and the internet financial system, directly aligning with the theme of cryptocurrency, digital assets, mining & blockchain infrastructure by offering a stablecoin and blockchain-based financial services platform.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
GEN,core,"The company explicitly mentions expansion into cryptocurrency mining and demonstrates investment in AI-powered fraud protection, indicating a direct involvement with cryptocurrency and blockchain technologies.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
RGLD,not_relevannt,"Royal Gold is a precious metals streaming management company, providing financing and management services to gold mining companies, not directly involved in cryptocurrency, digital assets, mining, or blockchain infrastructure.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
DJT,not_relevanant,"The company operates a social media platform, which is a user of digital assets and blockchain technology, but it is not directly involved in the core activities of cryptocurrency mining, blockchain infrastructure, or digital asset development.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
BLK,secondary,"BlackRock is a major asset manager with significant investment technology and blockchain investments, making it a key beneficiary of the digital assets and blockchain infrastructure theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
MSTR,core,"The company's core business is centered around cryptocurrency investment solutions, specifically providing exposure to Bitcoin through equity and fixed income instruments, alongside AI-powered data analytics tools for governance and actionable insights, directly aligning with the cryptocurrency and digital assets theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
XYZ,core,"Block's business model directly involves Bitcoin and cryptocurrency through its investments in companies like Coinbase, and its strategic diversification into the cryptocurrency space aligns with the investment theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
MA,secondary,"Mastercard is a key beneficiary of the digital payments ecosystem, particularly in the area of blockchain and cryptocurrency, through strategic partnerships and initiatives like crypto credentials and services.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
HLNE,not_relevanant,"Hamilton Lane is an investment advisory firm focused on private markets, with a growing focus on evergreen infrastructure and tokenization, but its core business is not directly in cryptocurrency, digital assets, mining, or blockchain infrastructure itself. It is a user of blockchain technology for fund accessibility, but not a core provider of the technology.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
BEN,not_relevanant,"Franklin Templeton is an asset management firm offering investment solutions across various asset classes, including ETFs and exploring blockchain and crypto, but it is not primarily focused on the cryptocurrency, digital assets, mining, or blockchain infrastructure theme itself.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
BAH,not_relevanant,"While Booz Allen Hamilton provides digital intelligence services, its core focus is on cybersecurity and government contracts, not the specific technologies or assets within the cryptocurrency, digital assets, mining, or blockchain infrastructure space.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
FIS,not_relevanant,"While FIS is investing in technologies like blockchain and AI, its core business is financial technology solutions for banks and businesses, which is a broader category than just cryptocurrency, digital assets, mining, or blockchain infrastructure. It is a user of blockchain technology, not a core provider.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
FCX,not_relevanant,"Freeport-McMoRan is a mining company that extracts copper and gold, which are commodities. It is a user of the technology related to mining and metals, not a core or secondary player in the cryptocurrency, digital assets, mining & blockchain infrastructure theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
NEM,not_relevanant,"Newmont is a gold mining company, which is a commodity, not directly related to cryptocurrency, digital assets, mining infrastructure, or blockchain technology.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
SCCO,not_relevanant,"Southern Copper is a base metals mining company, which is a user of blockchain infrastructure and digital assets, but not a core or secondary beneficiary of the cryptocurrency, digital assets, mining & blockchain infrastructure theme itself.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
AU,not_relevanant,"Angl gold Ashanti is a gold mining company, which is a commodity investing and natural resources business, not directly related to cryptocurrency, digital assets, mining infrastructure, or blockchain technology.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
EPAM,secondary,"EPAM provides digital transformation services, including AI and cloud computing, which are key enablers for the cryptocurrency, digital assets, mining, and blockchain infrastructure themes, but it is not directly involved in the core technologies themselves.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
BAM,not_relevanant,"Brookfield Asset Management focuses on renewable energy, infrastructure, and sustainable solutions, which are not directly related to cryptocurrency, digital assets, mining, or blockchain infrastructure. It is a user of these technologies, not a core or secondary beneficiary.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
CBOE,core,"CBOE Global Markets explicitly states its involvement in the digital assets market through its acquisition of EriX and Cboe Digital, positioning it as a key player in this space.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
HOOD,core,"Robinhood Markets directly offers commission-free trading in cryptocurrencies, making it a core player in the digital assets space.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
ICE,secondary,"ICE is a major player in the derivatives and digital assets market, providing infrastructure and services for trading and clearing digital assets, making it a key beneficiary of the growth in this space.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
BSY,not_relevannt,"Bently Systems provides software solutions for infrastructure, which is a user of technology, not a core or secondary player in the cryptocurrency, digital assets, mining & blockchain infrastructure theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
BK,not_relevannt,"BNY Mellon is a financial services company providing asset servicing, asset management, and wealth management solutions, not directly involved in cryptocurrency, digital assets, mining, or blockchain infrastructure.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
XEL,not_relevannt,"The company is a utility company focused on clean energy and grid modernization, which is related to energy infrastructure and grid modernization, but not directly to cryptocurrency, digital assets, mining, or blockchain infrastructure.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
AKAM,not_relevanant,"Akamai is a CDN provider, which is a component of cloud infrastructure and digital media, but not directly related to cryptocurrency, digital assets, mining, or blockchain infrastructure.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
SEIC,secondary,"SEI provides investment technology and wealth management platforms, which are key enablers for wealth creation and investment decision-making in the digital asset space, making them a secondary beneficiary.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
NET,not_relevannt,"Cloudflare provides cloud computing and cybersecurity services, which are infrastructure services, but not directly related to cryptocurrency, digital assets, mining, or blockchain infrastructure.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
MP,core,"MP Materials directly produces rare earth metals used in electric vehicle magnets, positioning it as a key player in the EV magnet market and the broader EV supply chain, aligning with the cryptocurrency, digital assets, mining & blockchain infrastructure theme.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
IBKR,not_relevanant,"IBKR is a brokerage firm providing financial services, not directly involved in the technology or infrastructure related to cryptocurrencies, digital assets, mining, or blockchain.","Cryptocurrency, Digital Assets, Mining & Blockchain Infrastructure"
Q,core,"Qnity Electronics provides materials and solutions for advanced computing, AI, and various electronic applications, directly aligning with the theme of Quantum Computing, Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
LSCC,core,"Lattice Semiconductor's core business is the design and manufacturing of FPGAs, a key component in next-gen computing and advanced semiconductor applications, particularly in power-constrained devices like IoT and automotive.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
ONTO,core,"Onto Innovation's core business is providing process and process control equipment and software for semiconductor manufacturing, directly aligning with the theme of Quantum Computing, Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AMAT,core,"Applied Materials is a major supplier of semiconductor equipment, directly providing tools for chip manufacturing, which is central to the quantum computing, next-gen computing, and advanced semiconductor themes.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
GOOG,core,"Alphabet Inc. has significant investment in quantum computing (Willow chip) and AI, positioning it as a key player in the quantum computing and next-gen computing space.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
LRCX,core,"Lam Research is a leading supplier of wafer fabrication equipment, which is a critical component of the semiconductor industry, directly aligning with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AMD,core,"AMD's core business is designing and manufacturing CPUs and GPUs, which are fundamental components in quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
ON,core,"ON Semiconductor's core business is semiconductor manufacturing, directly aligning with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
INTC,core,"Intel is a leading semiconductor manufacturer with a core business focused on designing and manufacturing computing solutions, including CPUs, which directly aligns with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
IBM,core,"IBM's business is directly focused on quantum computing, with a strong history and current leadership in this area, alongside significant investments in AI and related technologies.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
ENTG,core,"The company's business is directly focused on the semiconductor industry, providing specialty materials and solutions crucial for chip manufacturing, which is a core component of next-gen computing and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AMKR,core,"Amkor Technology provides semiconductor packaging and test services, which is a core component of the semiconductor industry, aligning directly with the investment theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
ALAB,core,"Astera Labs is a semiconductor manufacturer specifically focused on high-speed connectivity solutions for data centers and AI infrastructure, directly aligning with the quantum computing, next-gen computing, and advanced semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
NVDA,core,"NVIDIA's core business is the design of GPUs and AI hardware, directly fueling advancements in AI, gaming, data centers, and autonomous vehicles, making it a leading provider of the computing power in the quantum computing, next-gen computing, and advanced semiconductor space.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AVGO,core,"Broadcom's core business is in semiconductors and infrastructure software, with a strategic focus on AI chips and data center solutions, directly aligning with the investment theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
MU,core,"Micron Technology Inc. is a semiconductor company specializing in computer memory and data storage solutions, directly aligning with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
SWKS,core,"Swikworks Solutions is a semiconductor company specializing in RF chips, directly aligning with the theme of Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
CDNS,core,"Cadence Design Systems' core business is providing software and hardware for chip design, system-level verification, and electronic design automation (EDA), which directly relates to the next-gen computing and advanced semiconductor industries.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
KLAC,core,"KLA Corporation is a leading manufacturer of wafer fab equipment, process control, and yield management systems for the semiconductor industry, directly aligning with the core of quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
MKSI,core,"MKS Inc. provides foundational technology solutions for semiconductor manufacturing, electronics, and specialty industrial applications, directly aligning with the theme of Quantum Computing, Next-Gen Computing & Advanced Semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
GFS,core,"GlobalFoundries is a semiconductor foundry, directly involved in the manufacturing of advanced semiconductors, which is a core component of the Quantum Computing, Next-Gen Computing & Advanced Semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
COHR,core,"The company's core technology and business are centered around precision photonics and laser solutions, which are key enablers for advanced manufacturing, industrial automation, and scientific research â€“ all within the quantum computing, next-gen computing, and advanced semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
LITE,core,"LumenTium Holdings provides advanced laser and photonic technology, which is a key enabling technology for quantum computing, next-gen computing, and advanced semiconductors, particularly in areas like AI/ML infrastructure and semiconductor manufacturing.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
CGNX,core,"Cognex's core business is the design and manufacturing of machine vision systems and software, which are directly related to advanced manufacturing and automation, aligning with the Quantum Computing, Next-Gen Computing & Advanced Semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
NET,not_relevannt,"Cloudflare is a cloud computing and cybersecurity company providing infrastructure services, not directly involved in quantum computing, next-gen computing, or advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
ADI,core,"Analog Devices is a semiconductor company focused on analog and digital signal processing technologies, which are core to quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
QCOM,core,"Qualcomm's core business is designing and licensing semiconductor products, particularly system-on-chip (SoC) solutions, for smartphones, tablets, and automotive applications, with a strategic focus on AI, 5G, and automotive markets, aligning with the investment theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
MKC,not_relevanant,"While McCormick & Co is pivoting towards the semiconductor industry, its core business is food products, making it a user of semiconductor technology rather than a core or secondary player in the quantum computing, next-gen computing, or advanced semiconductors theme.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
SMCI,core,"Supermicro is a leading provider of high-performance servers, storage, and related software solutions, directly serving the data center, cloud computing, AI, and 5G markets, which are all key areas within quantum computing, next-gen computing, and advanced semiconductors.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
NOC,core,"Northrop Grumman's core business is aerospace and defense technology, which directly aligns with the theme of next-gen computing and advanced semiconductors, particularly in areas like space technology, advanced military systems, and cybersecurity.","Quantum Computing, Next-Gen Computing & Advanced Semiconductors"
AUR,core,"Aurora Innovation's core business is the development of self-driving technology for commercial vehicles, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
PATH,core,"UiPath is a leading provider of Robotic Process Automation (RPA) platforms, directly providing a core technology within the robotics, automation, and industrial AI systems space.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
APTV,core,"APTV's core business is the development and manufacturing of critical systems for autonomous driving, electric vehicles, and connected car technology, directly aligning with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ZBRA,core,"Zebra Technologies' core business is in data capture solutions, including machine vision, RFID, and automation, which directly aligns with robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
NVDA,core,"NVIDIA's core business is the design of GPUs and AI hardware, directly fueling advancements in artificial intelligence, autonomous vehicles, and robotics.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ALGM,core,"Allegro Microsystems' core business revolves around designing, developing, and manufacturing sensor-integrated circuits (ICs) and power ICs specifically for motion control and energy-efficient systems, with a strong focus on the automotive and industrial markets, aligning directly with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ST,core,"SensaTech's core business is centered around sensor-based solutions for the automotive, industrial, and energy sectors, with a strong focus on electric vehicles and autonomous driving, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
SNPS,core,"Synopsys' core business is Electronic Design Automation (EDA) software and services, which heavily leverages AI for chip design automation, placing it directly within the robotics, automation, and AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
CTSH,core,"Cognizant's business is directly focused on AI-led automation and business process outsourcing, which are key components of robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
CGNX,core,"Cognex is a leading manufacturer of machine vision systems and software, directly enabling automated inspection, defect detection, and assembly guidance, which are core components of robotics, automation, and industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
GM,not_relevanant,"General Motors is a global automotive manufacturer, primarily focused on producing vehicles, including electric vehicles. While they are investing in EV technology and autonomous driving, they are a user of the technology rather than a core provider or enabler in the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
GGG,core,"The company explicitly mentions 'Graco Robotics, Inc. (GRI)' and its proactive approach to integrating automation into fluid handling systems, indicating a direct involvement in the robotics market.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
TER,core,"TeraDyne's core business is the design and manufacture of automated test equipment for the semiconductor and electronics industries, directly addressing a critical bottleneck in high-volume production, which is central to robotics, automation, and autonomous vehicles.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
LCID,core,"Lucid Group is an electric vehicle manufacturer focused on advanced automotive technology, including autonomous driving and battery technology, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
OSK,secondary,"The company is strategically expanding into autonomous vehicles and access equipment, indicating a key beneficiary of the robotics, automation, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
F,core,"Ford Motor Company's strategic focus on electrification, autonomous driving, and connected vehicle technologies, along with significant investment in these areas, directly aligns with the robotics, automation, autonomous vehicles, and industrial AI systems investment theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
PEGA,core,"Pega Systems specializes in workflow automation and generative AI-powered decision-making, directly aligning with the theme of Robotics, Automation, Autonomous Vehicles & Industrial AI Systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ALSN,not_relevannt,"Allison Transmission Holdings Inc. is a manufacturer of commercial transmissions and hybrid propulsion systems, primarily serving the automotive and commercial vehicle industries. While they are involved in hybrid technology, their core business is not focused on robotics, autonomous vehicles, or industrial AI systems.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
PSN,core,"Parsons Corp is actively pivoting towards emerging technologies like AI/ML, cloud, and transportation networks, with a strong focus on automation and infrastructure solutions, indicating a direct alignment with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
LEA,core,"Lear Corporation's acquisition of InTouch Automation and development of innovative products like the Solid State Smart Junction Box (S3JB) directly indicate a commitment to advanced automotive technologies and Industry 4.0 integration, aligning with the Robotics, Automation, Autonomous Vehicles & Industrial AI Systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
GOOG,not_relevanant,"Alphabet Inc. is a technology company with a diverse portfolio, including cloud computing, search, and advertising, but its core business is not directly focused on robotics, automation, autonomous vehicles, or industrial AI systems. It is a user of technology, not a provider or enabler within the specified theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
EMR,core,"Emerson Electric's core business is industrial automation and control systems, with a strong focus on digital transformation and automation technology development, aligning directly with the robotics, automation, and industrial AI theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
AN,core,"The company has strategic investments in autonomous vehicle support through a partnership with Waymo, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
TRMB,core,"Trimble's strategic focus on agriculture, robotics and automation partnerships, and integration with automation solutions directly align with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
CDNS,core,"Cadence Design Systems provides software and hardware for chip design, system-level verification, and electronic design automation (EDA), which are core technologies within the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
ISRG,core,"Intuitive Surgical is a developer and manufacturer of robotic surgical systems, directly aligning with the robotics and automation theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
RRX,core,"Regal Rexnord's business focuses on power transmission and industrial motion technologies, which are directly related to automation and robotics applications.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
RIVN,core,"Rivian is an electric vehicle manufacturer with a strong focus on advanced technology, off-road capabilities, and strategic partnerships, directly aligning with the robotics, automation, autonomous vehicles, and industrial AI systems theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
JCI,core,"The company has a strategic pivot towards data center cooling and building automation, with an acquisition in this area and a partnership with an autonomous robotics company, indicating a focus on technology-driven solutions within its building technologies business.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
TSLA,core,"Tesla's core business is electric vehicles and energy solutions, with significant investments in autonomous driving, battery technology, and AI, directly aligning with the robotics, automation, and autonomous vehicles theme.","Robotics, Automation, Autonomous Vehicles & Industrial AI Systems"
PANW,core,"Palo Alto Networks' core business is providing cybersecurity platforms, including AI-powered security solutions, which directly aligns with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
CRWD,core,"The company's primary business is cloud-based threat intelligence and incident response, leveraging AI and machine learning for cybersecurity, directly aligning with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
FFIV,core,"F5 Networks provides application delivery and security solutions, with a strong focus on AI, cloud-native technologies, and security for hybrid and multi-cloud environments, aligning directly with the investment theme.",AI-Powered Cybersecurity & Network Security Platforms
ZS,core,"ZScaler's business is directly focused on providing cloud security solutions, leveraging AI for threat detection and prevention, which aligns with the theme of AI-Powered Cybersecurity & Network Security Platforms.",AI-Powered Cybersecurity & Network Security Platforms
FTNT,core,"The business description explicitly states that Fortinet provides a broad range of network security products and services, focusing on a comprehensive security fabric architecture, which is directly related to AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms
AKAM,core,"Akamai provides a platform for content delivery, security, and intelligent platform services, directly aligning with the theme of AI-powered cybersecurity and network security platforms.",AI-Powered Cybersecurity & Network Security Platforms
GEN,core,"The company's business is directly focused on cybersecurity, providing security software and services, and is actively investing in AI-powered fraud protection and cryptocurrency mining, aligning with the theme.",AI-Powered Cybersecurity & Network Security Platforms
